> adb shell getprop
code=0 signal=null
[dalvik.vm.appimageformat]: [lz4]
[dalvik.vm.dex2oat-Xms]: [64m]
[dalvik.vm.dex2oat-Xmx]: [512m]
[dalvik.vm.dex2oat-max-image-block-size]: [524288]
[dalvik.vm.dex2oat-minidebuginfo]: [true]
[dalvik.vm.dex2oat-resolve-startup-strings]: [true]
[dalvik.vm.dex2oat-updatable-bcp-packages-file]: [/system/etc/updatable-bcp-packages.txt]
[dalvik.vm.dexopt.secondary]: [true]
[dalvik.vm.dexopt.thermal-cutoff]: [2]
[dalvik.vm.image-dex2oat-Xms]: [64m]
[dalvik.vm.image-dex2oat-Xmx]: [64m]
[dalvik.vm.image-dex2oat-filter]: [extract]
[dalvik.vm.isa.arm64.features]: [default]
[dalvik.vm.isa.arm64.variant]: [cortex-a76]
[dalvik.vm.lockprof.threshold]: [500]
[dalvik.vm.madvise.artfile.size]: [4294967295]
[dalvik.vm.madvise.odexfile.size]: [104857600]
[dalvik.vm.madvise.vdexfile.size]: [104857600]
[dalvik.vm.minidebuginfo]: [true]
[dalvik.vm.usejit]: [true]
[dalvik.vm.usejitprofiles]: [true]
[debug.atrace.tags.enableflags]: [0]
[dev.mnt.blk.cache]: [sda]
[dev.mnt.blk.data]: [sda]
[dev.mnt.blk.odm]: []
[dev.mnt.blk.sdcard]: [sda]
[dev.mnt.blk.system_root]: []
[dev.mnt.blk.tmp.vendor]: []
[dev.mnt.blk.vendor]: []
[external_storage.casefold.enabled]: [1]
[external_storage.projid.enabled]: [1]
[external_storage.sdcardfs.enabled]: [0]
[fbe.contents]: [aes-256-xts]
[fbe.filenames]: [aes-256-cts:v2]
[fstab.additional]: [1]
[gsid.image_installed]: [0]
[hwservicemanager.ready]: [true]
[init.svc.adbd]: [running]
[init.svc.fastbootd]: [stopped]
[init.svc.health-hal-2-1]: [running]
[init.svc.hwservicemanager]: [running]
[init.svc.logd]: [running]
[init.svc.recovery]: [running]
[init.svc.ueventd]: [running]
[init.svc.vndservicemanager]: [running]
[init.svc.watchdogd]: [running]
[init.svc_debug_pid.adbd]: [566]
[init.svc_debug_pid.fastbootd]: []
[init.svc_debug_pid.health-hal-2-1]: [507]
[init.svc_debug_pid.hwservicemanager]: [504]
[init.svc_debug_pid.logd]: [502]
[init.svc_debug_pid.recovery]: [506]
[init.svc_debug_pid.ueventd]: [484]
[init.svc_debug_pid.vndservicemanager]: [505]
[init.svc_debug_pid.watchdogd]: [503]
[keymaster_ver]: [4.x]
[mtp.crash_check]: [0]
[net.bt.name]: [Android]
[persist.debug.dalvik.vm.core_platform_api_policy]: [just-warn]
[persist.sys.dalvik.vm.lib.2]: [libart.so]
[persist.sys.disable_rescue]: [true]
[persist.sys.timezone]: [CST6CDT,M3.2.0,M11.1.0]
[persist.sys.usb.config]: [adb]
[persist.traced.enable]: [1]
[pm.dexopt.ab-ota]: [speed-profile]
[pm.dexopt.bg-dexopt]: [speed-profile]
[pm.dexopt.boot-after-ota]: [extract]
[pm.dexopt.cmdline]: [verify]
[pm.dexopt.first-boot]: [extract]
[pm.dexopt.inactive]: [verify]
[pm.dexopt.install]: [speed-profile]
[pm.dexopt.install-bulk]: [speed-profile]
[pm.dexopt.install-bulk-downgraded]: [verify]
[pm.dexopt.install-bulk-secondary]: [verify]
[pm.dexopt.install-bulk-secondary-downgraded]: [extract]
[pm.dexopt.install-fast]: [skip]
[pm.dexopt.post-boot]: [extract]
[pm.dexopt.shared]: [speed]
[ro.actionable_compatible_property.enabled]: [true]
[ro.allow.mock.location]: [1]
[ro.baseband]: [unknown]
[ro.bionic.2nd_arch]: []
[ro.bionic.2nd_cpu_variant]: []
[ro.bionic.arch]: [arm64]
[ro.bionic.cpu_variant]: [cortex-a76]
[ro.board.platform]: [exynos2100]
[ro.boot.ap_serial]: [0x8AF60E444D90]
[ro.boot.asb]: [18]
[ro.boot.boot_devices]: [13100000.ufs]
[ro.boot.bootloader]: [G996BXXSJHZC2]
[ro.boot.bore_cnt]: [729]
